obj,src,value
"Darsow, Barry",wikipedia,Minneapolis
"Darsow, Barry",howold,Minneapolis
"Sage, Halston",wikipedia,Los Angeles
"Sage, Halston",howold,California
"Torres, Dayanara",wikipedia,Puerto Rico
"Torres, Dayanara",howold,Puerto Rico
"Alter, Tom",wikipedia,Mussoorie
"Graynor, Ari",wikipedia,Boston
"Graynor, Ari",howold,Boston
"Barrowman, John",wikiquote,Mount Vernon
"Barrowman, John",wikipedia,Glasgow
"Barrowman, John",howold,Glasgow
"Strahovski, Yvonne",wikipedia,Sydney
"Strahovski, Yvonne",howold,South Wales
"Choi, Kenneth",wikipedia,Chicago
"Choi, Kenneth",howold,Chicago
"Swinton, Tilda",wikipedia,London
"Swinton, Tilda",howold,England
"Bader, Diedrich",wikipedia,Alexandria
"Bader, Diedrich",howold,Alexandria
"Arkin, Adam",wikipedia,Brooklyn
"Arkin, Adam",howold,Brooklyn
"Cotillard, Marion",wikipedia,Paris
"Cotillard, Marion",howold,Paris
"Reed, Rondi",wikipedia,Dixon
"Reed, Rondi",howold,Dixon
"Schmoeller, David",wikipedia,Louisville
"Schmoeller, David",howold,Louisville
"Hutcherson, Josh",aceshowbiz,Ryan
"Hutcherson, Josh",wikipedia,Ryan
"Hutcherson, Josh",popsugar,Union
"Hutcherson, Josh",howold,Union
"Stole, Mink",wikipedia,Baltimore
"Stole, Mink",howold,Maryland
"Jude, Brian",wikipedia,Long Branch
"Jude, Brian",howold,Long Branch
"Calf, Anthony",wikipedia,Hammersmith
"Calf, Anthony",howold,London
"Ballard, Hank",wikipedia,Detroit
"Ballard, Hank",howold,Detroit
"Petherbridge, Edward",wikipedia,Bradford
"Petherbridge, Edward",howold,England
"Wagner, Paula",wikipedia,Youngstown
"Wagner, Paula",howold,Ohio
"Kaneshiro, Takeshi",wikipedia,Taipei
"Kaneshiro, Takeshi",howold,Taipei
"Martin, Coco",wikipedia,Quezon City
"Martin, Coco",howold,Philippines
"Hume, Kirsty",wikipedia,Ayrshire
"Hume, Kirsty",howold,Scotland
"Sherwood, Davetta",lifetimetv,Trinidad
"Sherwood, Davetta",wikipedia,Mount Vernon
"Sherwood, Davetta",howold,Mount Vernon
"Knight, Maxim",wikipedia,Honolulu
"Knight, Maxim",howold,Honolulu
"Shokof, Daryush",wikipedia,Tehran
"Kozer, Sarah",wikipedia,Pennsylvania
"Kozer, Sarah",howold,Pennsylvania
"Sherrin, Ned",wikipedia,Low Ham
"Babadzhanyan, Arno",wikipedia,Armenia
"Albertsen, Heidi",wikipedia,Copenhagen
"Albertsen, Heidi",howold,Copenhagen
"Linklater, Richard",wikipedia,Stuart
"Linklater, Richard",howold,Houston
"Sorkin, Aaron",wikiquote,New York
"Sorkin, Aaron",wikipedia,New York
"Sorkin, Aaron",howold,New York
"Caranfil, Nae",wikipedia,Bucharest
"Caranfil, Nae",howold,Bucharest
"Saget, Bob",wikiquote,Ain
"Saget, Bob",wikipedia,Philadelphia
"Saget, Bob",howold,Philadelphia
"Bomer, Matt",wikipedia,Webster
"Bomer, Matt",popsugar,Webster
"Bomer, Matt",howold,Missouri
"Rose, Axl",wikipedia,Lafayette
"Rose, Axl",howold,Lafayette
"Branigan, Laura",wikipedia,Brewster
"Branigan, Laura",howold,New York
"Pitillo, Maria",wikipedia,Elmira
"Hyneman, Jamie",wikipedia,Franklin
"Hyneman, Jamie",howold,Michigan
"Eldard, Ron",wikipedia,Long Island
"Eldard, Ron",howold,Long Island
"Law, Katrina",wikipedia,Philadelphia
"Law, Katrina",howold,New Jersey
"Campbell, Neve",lifetimetv,Canada
"Campbell, Neve",wikipedia,Guelph
"Campbell, Neve",popsugar,Guelph
"Campbell, Neve",howold,Ontario
"Bilderback, Nicole",wikipedia,Seoul
"Bilderback, Nicole",howold,Korea
"Ballard, Florence",wikipedia,Detroit
"Ballard, Florence",howold,Detroit
"Landry, Ali",wikipedia,Breaux Bridge
"Landry, Ali",howold,USA
"Charif, Gustavo",wikipedia,Buenos Aires
"Charif, Gustavo",howold,Buenos Aires
"Hurlbut, Shane",wikipedia,West Hollywood
"Hurlbut, Shane",howold,Ithaca
"Loren, Trinity",wikipedia,La Jolla
"Loren, Trinity",howold,La Jolla
"PenaVega, Alexa",wikipedia,Miami
"PenaVega, Alexa",howold,Wallace
"Coleman, Porscha",wikipedia,Van Nuys
"Sigler, Jamie-Lynn",wikipedia,Jericho
"Sigler, Jamie-Lynn",howold,Queens
"Ligon, Tom",wikipedia,New Orleans
"Dunne, Griffin",wikipedia,New York
"Dunne, Griffin",howold,New York
"Parillaud, Anne",wikipedia,Paris
"Parillaud, Anne",howold,Paris
"Kerr, Miranda",wikipedia,Sydney
"Kerr, Miranda",popsugar,Sydney
"Kerr, Miranda",howold,Victoria
"Caidin, Martin",wikipedia,New York
"Caidin, Martin",howold,Ryan
"Soavi, Michele",wikipedia,Milan
"Soavi, Michele",howold,Milan
"Sulkin, Gregg",wikipedia,Westminster
"Sulkin, Gregg",howold,London
"Egerton, Taron",wikipedia,Birkenhead
"Egerton, Taron",popsugar,Aberystwyth
"Bench, Johnny",wikipedia,Oklahoma
"Bench, Johnny",howold,Oklahoma
"Whitfield, Dondre",wikipedia,Terrell
"Whitfield, Dondre",howold,Brooklyn
"Jeffrey, Peter",wikipedia,Bristol
"Jeffrey, Peter",howold,England
"Dailey, Irene",wikipedia,New York
"Dailey, Irene",howold,New York
"Blanc, Raymond",wikiquote,UK
"Blanc, Raymond",wikipedia,France
"Blanc, Raymond",howold,France
"Carl, Shay",wikipedia,Butler
"Carl, Shay",howold,Utah
"London, Julie",latimes,Santa Rosa
"London, Julie",wikipedia,Santa Rosa
"London, Julie",howold,California
"Thibaudet, Jean-Yves",wikipedia,Lyon
"Thibaudet, Jean-Yves",howold,France
"Marsh, Kym",wikipedia,Whiston
"Marsh, Kym",howold,Merseyside
"Puente, Tito",latimes,New York
"Puente, Tito",wikipedia,Manhattan
"Marston, Nathaniel",wikipedia,Connecticut
"Marston, Nathaniel",howold,Connecticut
"Gracie, Royce",wikipedia,Brazil
"Gracie, Royce",howold,Morley
"Usher, Gary",wikipedia,Los Angeles
"Usher, Gary",howold,California
"Ween, Dean",wikipedia,New Hope
"Ween, Dean",howold,New Hope
"Harrison, Tamee",wikipedia,Perth
"Harrison, Tamee",howold,Perth
"Finlay, Frank",wikipedia,Farnworth
"Finlay, Frank",howold,England
"Throne, Malachi",wikipedia,New York
"Throne, Malachi",howold,New York
"Perroni, Maite",wikipedia,Mexico
"Perroni, Maite",howold,Mexico
"Belle, Lexi",wikipedia,Independence
"Belle, Lexi",howold,Independence
"Gedrick, Jason",wikipedia,Chicago
"Gedrick, Jason",howold,Chicago
"Salomon, Danny",lifetimetv,Trinidad
"Salomon, Danny",wikipedia,Brooklyn
"Salomon, Danny",howold,Ray
"Nealon, Kevin",wikipedia,Missouri
"Nealon, Kevin",howold,Missouri
"Linda, Anita",wikipedia,Pasay City
"Linda, Anita",howold,Philippines
"Milani, Leyla",wikipedia,Toronto
"Milani, Leyla",howold,Ontario
"Rhue, Madlyn",wikipedia,Washington
"Rhue, Madlyn",howold,Washington
"Lumbly, Carl",wikipedia,Minneapolis
"Lumbly, Carl",howold,Minnesota
"Bixby, Bill",wikipedia,San Francisco
"Bixby, Bill",howold,California
"Joanou, Phil",wikipedia,California
"Joanou, Phil",howold,California
"Wank, Andreas",wikipedia,Halle
"Wank, Andreas",howold,East Germany
"Ashmore, Shawn",wikipedia,Richmond
"Ashmore, Shawn",howold,Weston
"Louise, Helli",wikipedia,Copenhagen
"Louise, Helli",howold,Copenhagen
"Ramirez, Marisa",lifetimetv,Trinidad
"Ramirez, Marisa",wikipedia,Los Angeles
"Ramirez, Marisa",howold,California
"Trudeau, Garry",wikiquote,Washington
"Trudeau, Garry",wikipedia,New York
"Trudeau, Garry",howold,New York
"Wilson, Carnie",wikipedia,Bel Air
"Oddie, Bill",wikipedia,Rochdale
"Oddie, Bill",howold,England
"Sweeney, Julia",wikipedia,Spokane
"Sweeney, Julia",howold,Stuart
"Malick, Terrence",wikipedia,Ottawa
"Malick, Terrence",howold,Ottawa
"Radner, Gilda",lifetimetv,Toronto
"Radner, Gilda",latimes,Detroit
"Radner, Gilda",wikipedia,Detroit
"Radner, Gilda",howold,Detroit
"Wachtel, Waddy",wikipedia,New York
"Wachtel, Waddy",howold,New York
"Andre, Annette",wikipedia,Sydney
"Andre, Annette",howold,Sydney
"Malil, Shelley",wikipedia,Kerala
"Malil, Shelley",howold,Kerala
"Buhner, Jay",lifetimetv,Trinidad
"Buhner, Jay",wikipedia,Louisville
"Buhner, Jay",howold,Louisville
"Mol, Gretchen",wikipedia,Deep River
"Mol, Gretchen",howold,Deep River
"Henson, Nicky",wikipedia,London
"Henson, Nicky",howold,London
"Thieriot, Max",wikipedia,California
"Thieriot, Max",howold,California
RZA,wikipedia,Brooklyn
RZA,howold,Brooklyn
"Wiehl, Lis",wikiquote,Seattle
"Wiehl, Lis",wikipedia,Yakima
"Hyer, Martha",wikipedia,Fort Worth
"Hyer, Martha",howold,Fort Worth
"Mewes, Jason",wikiquote,New York
"Mewes, Jason",wikipedia,Highlands
"Mewes, Jason",howold,Highlands
"DuVall, Clea",wikipedia,Los Angeles
"DuVall, Clea",howold,Los Angeles
"Rose, Jalen",wikipedia,Detroit
"Rose, Jalen",howold,Michigan
"Reed, Dean",wikipedia,Denver
"Reed, Dean",howold,Denver
"Jarre, Maurice",latimes,Lyon
"Jarre, Maurice",wikipedia,Lyon
"Jarre, Maurice",howold,France
"LaFontaine, Don",wikipedia,Duluth
"LaFontaine, Don",howold,Duluth
"Jameson, Joyce",wikipedia,Chicago
"Jameson, Joyce",howold,Chicago
"Tolkan, James",wikipedia,Calumet
"Tolkan, James",howold,Michigan
"Dutton, Dave",wikipedia,Atherton
"Dutton, Dave",howold,Lancashire
"Scirea, Gaetano",wikipedia,Milan
"Scirea, Gaetano",howold,Italy
"Walsh, J.T.",wikipedia,San Francisco
"Mansurov, Eldar",wikipedia,Baku
"Mansurov, Eldar",howold,Baku
"Blanchett, Cate",wikiquote,Hollywood
"Blanchett, Cate",popsugar,Melbourne
"Blanchett, Cate",lifetimetv,Melbourne
"Blanchett, Cate",latimes,Melbourne
"Blanchett, Cate",wikipedia,Melbourne
"Blanchett, Cate",howold,Melbourne
"Blanchett, Cate",aceshowbiz,Elizabeth
"Morrison, Van",wikiquote,Belfast
"Morrison, Van",wikipedia,Bloomfield
"Morrison, Van",howold,Belfast
"Blackmore, Ritchie",wikiquote,Mobile
"Blackmore, Ritchie",wikipedia,Somerset
"Blackmore, Ritchie",howold,England
"Blomkamp, Neill",wikipedia,Johannesburg
"Blomkamp, Neill",howold,Johannesburg
Ice-T,wikipedia,Newark
Ice-T,howold,Newark
"Fussell, Paul",wikiquote,Pasadena
"Fussell, Paul",wikipedia,Pasadena
"Fussell, Paul",howold,Pasadena
"Beach, Gary",wikipedia,Alexandria
"Beach, Gary",howold,Alexandria
"McIntyre, Liam",wikipedia,Adelaide
"DioGuardi, Kara",wikipedia,New York
"DioGuardi, Kara",howold,New York
"Hale, Georgina",wikipedia,Ilford
"Hale, Georgina",howold,England
"Brava, Linda",wikipedia,Helsinki
"Garth, Jennie",wikipedia,Eve
"Garth, Jennie",howold,Urbana
"Muren, Dennis",latimes,Glendale
"Muren, Dennis",wikipedia,Glendale
"Muren, Dennis",howold,Glendale
"Moraes, Alinne",wikipedia,Sorocaba
"Moraes, Alinne",howold,Brazil
"Federer, Roger",lifetimetv,Switzerland
"Federer, Roger",howold,Basel
"Federer, Roger",wikipedia,Basel
"Federer, Roger",wikiquote,Brisbane
"Silver, Horace",wikipedia,Norwalk
"Silver, Horace",howold,Connecticut
"Panahi, Jafar",wikipedia,Iran
"Panahi, Jafar",howold,Iran
"Danna, Mychael",wikipedia,Winnipeg
"Danna, Mychael",howold,Manitoba
"Danner, Blythe",wikipedia,Philadelphia
"Danner, Blythe",howold,Pennsylvania
"Prasad, Shweta",wikipedia,Jamshedpur
"Prasad, Shweta",howold,India
"Loudon, Dorothy",wikipedia,Boston
"Loudon, Dorothy",howold,Boston
"Scott, Campbell",wikipedia,New York
"Scott, Campbell",howold,Lawrence
"Bol, Manute",wikipedia,Gogrial
"Bol, Manute",howold,Sudan
"Caulfield, Emma",wikiquote,Mobile
"Caulfield, Emma",wikipedia,San Diego
"Caulfield, Emma",howold,San Diego
"Waltz, Christoph",latimes,Vienna
"Waltz, Christoph",wikipedia,Vienna
"Waltz, Christoph",popsugar,Vienna
"Waltz, Christoph",howold,Vienna
"Medcalf, Kim",wikipedia,Bromley
"Medcalf, Kim",howold,Mitchell
"Rivera, Naya",wikipedia,Valencia
"Rivera, Naya",popsugar,Valencia
"Rivera, Naya",howold,California
"Messing, Debra",aceshowbiz,Brooklyn
"Messing, Debra",wikipedia,Lynn
"Messing, Debra",popsugar,Brooklyn
"Messing, Debra",howold,New York
"LaBelle, Patti",lifetimetv,Philadelphia
"LaBelle, Patti",latimes,Philadelphia
"LaBelle, Patti",wikipedia,Philadelphia
"LaBelle, Patti",howold,Pennsylvania
"Lipinski, Tara",wikipedia,Philadelphia
"Lipinski, Tara",howold,Japan
"Shepherd, Cybill",latimes,Memphis
"Shepherd, Cybill",wikipedia,Memphis
"Shepherd, Cybill",howold,Memphis
"Toback, James",wikipedia,New York
"Toback, James",howold,New York
"Buchholz, Horst",wikipedia,Berlin
"Buchholz, Horst",howold,Berlin
"Patrick, Danica",wikipedia,Beloit
"Patrick, Danica",howold,Japan
"Arcand, Denys",wikipedia,Deschambault
"Arcand, Denys",howold,Canada
"Rozelle, Pete",wikipedia,Ray
"Rozelle, Pete",howold,California
"Wilson, Peta",wikipedia,Sydney
"Howe, Gordie",wikipedia,Floral
"Howe, Gordie",howold,Detroit
"Foster, Susanna",wikipedia,Flanders
"Foster, Susanna",howold,Chicago
"Satchwell, Brooke",wikipedia,Melbourne
"Satchwell, Brooke",howold,Melbourne
"Korsmo, Charlie",wikipedia,Randolph
"Korsmo, Charlie",howold,Fargo
"Seagal, Steven",lifetimetv,Lansing
"Seagal, Steven",wikipedia,Lansing
"Seagal, Steven",howold,Japan
"McKee, Lucky",wikipedia,Jenny Lind
"McKee, Lucky",howold,Jenny Lind
"Shaffer, Paul",wikipedia,Thunder Bay
"Shaffer, Paul",howold,Ontario
"Wilcox, Lisa",wikipedia,Columbia
"Wilcox, Lisa",howold,Columbia
"Coltrane, John",wikipedia,Hamlet
"Coltrane, John",howold,Hamlet
"Hingle, Pat",wikipedia,Miami
"Hingle, Pat",howold,Miami
"Baumbach, Noah",wikipedia,Brooklyn
"Baumbach, Noah",howold,Brooklyn
"Stewart, Booboo",wikipedia,Beverly
"Stewart, Booboo",howold,California
"Lear, Amanda",lifetimetv,Trinidad
"Lear, Amanda",wikipedia,Saigon
"Kapoor, Tusshar",wikipedia,Maharashtra
"Kapoor, Tusshar",howold,India
"Curry, Adrianne",wikipedia,Joliet
"Curry, Adrianne",howold,Christopher
"Chase, Chevy",latimes,New York
"Chase, Chevy",wikipedia,Manhattan
"Solanas, Valerie",wikipedia,New Jersey
"Solanas, Valerie",howold,New Jersey
"Sebastian, Joan",wikipedia,Juliantla
"Sebastian, Joan",howold,Guerrero
"Aniston, Jennifer",wikiquote,Connecticut
"Aniston, Jennifer",popsugar,Sherman Oaks
"Aniston, Jennifer",lifetimetv,Athens
"Aniston, Jennifer",latimes,Sherman Oaks
"Aniston, Jennifer",wikipedia,Sherman Oaks
"Aniston, Jennifer",howold,Hollywood
"Aniston, Jennifer",aceshowbiz,Sherman Oaks
"Pontes, Dulce",wikipedia,Montijo
"Newhart, Bob",latimes,Oak Park
"Newhart, Bob",wikipedia,Oak Park
"Newhart, Bob",howold,Oak Park
"Reznor, Trent",wikipedia,Pennsylvania
